Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-13 00:00:00-04:00,2.180000066757202,2.569999933242798,1.9600000381469727,2.2899999618530273,619600,0.0,0.0
2024-05-20 00:00:00-04:00,2.2300000190734863,2.2799999713897705,2.0399999618530273,2.0999999046325684,125300,0.0,0.0
2024-05-27 00:00:00-04:00,2.140000104904175,2.3489999771118164,1.909999966621399,2.0899999141693115,223100,0.0,0.0
2024-06-03 00:00:00-04:00,2.0899999141693115,2.5,2.0,2.450000047683716,194800,0.0,0.0
2024-06-10 00:00:00-04:00,2.450000047683716,2.609999895095825,2.240000009536743,2.25,173400,0.0,0.0
2024-06-17 00:00:00-04:00,2.299999952316284,2.490000009536743,2.0299999713897705,2.2300000190734863,246000,0.0,0.0
2024-06-24 00:00:00-04:00,2.1700000762939453,2.490000009536743,2.0169999599456787,2.2200000286102295,658000,0.0,0.0
2024-07-01 00:00:00-04:00,2.240000009536743,2.4600000381469727,2.1500000953674316,2.299999952316284,145600,0.0,0.0
2024-07-08 00:00:00-04:00,2.2799999713897705,2.9800000190734863,2.2799999713897705,2.809999942779541,358400,0.0,0.0
2024-07-15 00:00:00-04:00,2.799999952316284,2.9600000381469727,2.4200000762939453,2.450000047683716,267300,0.0,0.0
2024-07-22 00:00:00-04:00,2.5399999618530273,2.75,2.25,2.4000000953674316,422900,0.0,0.0
2024-07-29 00:00:00-04:00,2.4000000953674316,2.4700000286102295,2.0209999084472656,2.0999999046325684,176000,0.0,0.0
2024-08-05 00:00:00-04:00,2.009999990463257,2.259999990463257,1.9700000286102295,2.0999999046325684,182400,0.0,0.0
2024-08-12 00:00:00-04:00,2.190000057220459,2.4800000190734863,2.0999999046325684,2.3299999237060547,198900,0.0,0.0
2024-08-19 00:00:00-04:00,2.4100000858306885,3.2799999713897705,2.3499999046325684,2.7049999237060547,645600,0.0,0.0
2024-08-26 00:00:00-04:00,2.759999990463257,3.069999933242798,2.5,2.7100000381469727,181900,0.0,0.0
2024-09-02 00:00:00-04:00,2.619999885559082,2.799999952316284,2.5,2.619999885559082,112700,0.0,0.0
2024-09-09 00:00:00-04:00,2.7899999618530273,3.299999952316284,2.6500000953674316,2.950000047683716,274200,0.0,0.0
2024-09-16 00:00:00-04:00,3.0999999046325684,5.949999809265137,2.700000047683716,3.0799999237060547,78924500,0.0,0.0
2024-09-23 00:00:00-04:00,3.0399999618530273,3.3499999046325684,2.630000114440918,2.700000047683716,2372300,0.0,0.0
2024-09-30 00:00:00-04:00,2.6700000762939453,2.809999942779541,2.309999942779541,2.509999990463257,807700,0.0,0.0
2024-10-07 00:00:00-04:00,2.509999990463257,2.5799999237060547,2.2249999046325684,2.5299999713897705,734000,0.0,0.0
2024-10-14 00:00:00-04:00,2.509999990463257,2.740000009536743,2.380000114440918,2.6700000762939453,520600,0.0,0.0
2024-10-21 00:00:00-04:00,2.6700000762939453,2.950000047683716,2.5199999809265137,2.6500000953674316,654000,0.0,0.0
2024-10-28 00:00:00-04:00,2.7100000381469727,2.990000009536743,2.5199999809265137,2.680000066757202,811300,0.0,0.0
2024-11-04 00:00:00-05:00,2.700000047683716,3.25,2.609999895095825,3.0899999141693115,649300,0.0,0.0
2024-11-11 00:00:00-05:00,3.1700000762939453,3.4800000190734863,2.759999990463257,2.8399999141693115,1305500,0.0,0.0
2024-11-18 00:00:00-05:00,2.819999933242798,3.2799999713897705,2.509999990463257,3.200000047683716,725200,0.0,0.0
2024-11-25 00:00:00-05:00,3.25,3.640000104904175,3.0899999141693115,3.4100000858306885,850400,0.0,0.0
2024-12-02 00:00:00-05:00,3.359999895095825,4.300000190734863,3.309999942779541,4.170000076293945,1263000,0.0,0.0
2024-12-09 00:00:00-05:00,4.300000190734863,4.800000190734863,4.050000190734863,4.610000133514404,952100,0.0,0.0
2024-12-16 00:00:00-05:00,4.96999979019165,5.429999828338623,4.449999809265137,4.980000019073486,1289200,0.0,0.0
2024-12-23 00:00:00-05:00,4.75,5.239999771118164,4.010000228881836,4.650000095367432,1298200,0.0,0.0
